P&ID_Filename,Instrument_Tag,Instrument_Type,Description_x,Location,X_Coordinate,Y_Coordinate,Radius,Source_PID_File,Description_y
P11671-11-71-08-1708-01.pdf,PIT-573P-80-08,PIT,PRESSURE IND. TRANSMITTER,Field,2924,3894,76,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-80-08,PIT,PRESSURE IND. TRANSMITTER,Field,2924,3894,76,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,PI-573P-06-90,PI,PRESSURE INDICATION,Field,5544,3902,75,P11671-11-71-08-1708-01.pdf,PRESSURE INDICATION
P11671-11-71-08-1708-01.pdf,PI-573P-06-90,PI,PRESSURE INDICATION,Field,5544,3902,75,P11671-11-71-08-1708-01.pdf,PUMP TRIP COMMAND
P11671-11-71-08-1708-01.pdf,PI-573P-09,PI,PRESSURE INDICATION,Field,6756,4272,75,P11671-11-71-08-1708-01.pdf,PRESSURE INDICATION
P11671-11-71-08-1708-01.pdf,PI-573P-09,PI,PRESSURE INDICATION,Field,6756,4272,75,P11671-11-71-08-1708-01.pdf,PUMP TRIP COMMAND
P11671-11-71-08-1708-01.pdf,CC-573P-01,CC,,Field,6598,4284,76,P11671-11-71-08-1708-01.pdf,
P11671-11-71-08-1708-01.pdf,PIT-573P-04A,PIT,PRESSURE IND. TRANSMITTER,Field,4988,4420,76,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-04A,PIT,PRESSURE IND. TRANSMITTER,Field,4988,4420,76,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,PIT-573P-04B,PIT,PRESSURE IND. TRANSMITTER,Field,5208,4420,76,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-04B,PIT,PRESSURE IND. TRANSMITTER,Field,5208,4420,76,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,PIT-573P-04C,PIT,PRESSURE IND. TRANSMITTER,Field,5430,4420,76,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-04C,PIT,PRESSURE IND. TRANSMITTER,Field,5430,4420,76,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,PIT-573P-07,PIT,PRESSURE IND. TRANSMITTER,Field,5648,4420,75,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-07,PIT,PRESSURE IND. TRANSMITTER,Field,5648,4420,75,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,TI-573P-02,TI,TEMPERATURE INDICATION,Field,5820,4420,76,P11671-11-71-08-1708-01.pdf,TEMPERATURE INDICATION
P11671-11-71-08-1708-01.pdf,TI-573P-02,TI,TEMPERATURE INDICATION,Field,5820,4420,76,P11671-11-71-08-1708-01.pdf,SPEED COMMAND
P11671-11-71-08-1708-01.pdf,TW-573P-02,TW,THERMOWELL,Field,5992,4420,76,P11671-11-71-08-1708-01.pdf,THERMOWELL
P11671-11-71-08-1708-01.pdf,TW-573P-02,TW,THERMOWELL,Field,5992,4420,76,P11671-11-71-08-1708-01.pdf,ALARM INDICATION
