Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
57,1724,2364,73,573P,"[(36, 67), (107, 67), (107, 94), (36, 94)]"
57,1724,2364,73,02,"[(55, 106), (93, 106), (93, 132), (55, 132)]"
58,1058,1052,73,PPHS,"[(30, 21), (113, 21), (113, 47), (30, 47)]"
58,1058,1052,73,573P,"[(34, 68), (107, 68), (107, 94), (34, 94)]"
58,1058,1052,73,01A,"[(43, 106), (100, 106), (100, 133), (43, 133)]"
59,2788,1052,73,PSAH,"[(31, 21), (113, 21), (113, 47), (31, 47)]"
59,2788,1052,73,573P,"[(35, 69), (107, 69), (107, 95), (35, 95)]"
59,2788,1052,73,48,"[(53, 107), (87, 107), (87, 131), (53, 131)]"
60,4020,1052,73,PSAH,"[(31, 20), (112, 20), (112, 45), (31, 45)]"
60,4020,1052,73,573P,"[(35, 67), (107, 67), (107, 93), (35, 93)]"
60,4020,1052,73,02,"[(54, 104), (90, 104), (90, 131), (54, 131)]"
61,2024,2364,73,SZIH,"[(39, 20), (109, 21), (109, 50), (39, 49)]"
61,2024,2364,73,573P,"[(37, 67), (109, 67), (109, 94), (37, 94)]"
61,2024,2364,73,02,"[(55, 106), (93, 106), (93, 132), (55, 132)]"
62,5544,3902,75,PI,"[(64, 15), (94, 16), (94, 43), (64, 42)]"
62,5544,3902,75,573P,"[(39, 59), (111, 59), (111, 85), (39, 85)]"
62,5544,3902,75,90,"[(62, 133), (61, 70), (88, 70), (89, 133)]"
62,5544,3902,75,06,"[(58, 100), (94, 100), (94, 125), (58, 125)]"
63,5648,4420,75,PIT,"[(54, 14), (102, 15), (102, 41), (54, 40)]"
63,5648,4420,75,573P,"[(40, 57), (113, 58), (113, 86), (40, 85)]"
63,5648,4420,75,07,"[(59, 93), (98, 99), (93, 128), (55, 123)]"
64,882,1052,73,XI,"[(55, 19), (89, 19), (89, 46), (55, 46)]"
64,882,1052,73,573P,"[(34, 68), (107, 68), (107, 94), (34, 94)]"
64,882,1052,73,30,"[(54, 105), (89, 105), (89, 130), (54, 130)]"
65,5208,4420,76,PIT,"[(52, 15), (99, 15), (99, 41), (52, 41)]"
65,5208,4420,76,573P,"[(38, 59), (110, 57), (111, 85), (39, 87)]"
65,5208,4420,76,04B,"[(47, 100), (101, 100), (101, 126), (47, 126)]"
66,3368,1050,75,SZIH,"[(39, 24), (108, 24), (108, 50), (39, 50)]"
66,3368,1050,75,573P,"[(36, 71), (108, 71), (108, 98), (36, 98)]"
66,3368,1050,75,.03,"[(52, 108), (96, 108), (96, 135), (52, 135)]"
67,3800,2538,75,SVHC,"[(34, 19), (118, 21), (117, 49), (33, 47)]"
67,3800,2538,75,573P,"[(40, 70), (112, 70), (112, 96), (40, 96)]"
67,3800,2538,75,03,"[(59, 105), (95, 105), (95, 131), (59, 131)]"
68,4354,824,75,PI,"[(60, 25), (92, 25), (92, 51), (60, 51)]"
68,4354,824,75,573P,"[(37, 72), (109, 71), (109, 98), (37, 99)]"
68,4354,824,75,03,"[(56, 109), (90, 109), (90, 136), (56, 136)]"
68,4354,824,75,33,"[(89, 99), (89, 149), (59, 149), (59, 99)]"
69,2594,1050,75,ΕΙ,"[(60, 23), (88, 23), (88, 52), (60, 52)]"
69,2594,1050,75,573P,"[(36, 72), (109, 72), (109, 98), (36, 98)]"
69,2594,1050,75,01,"[(54, 109), (88, 109), (88, 135), (54, 135)]"
70,3012,3256,75,SZSL,"[(38, 15), (114, 15), (114, 43), (38, 43)]"
70,3012,3256,75,573P,"[(40, 60), (112, 58), (113, 86), (41, 88)]"
70,3012,3256,75,03,"[(59, 101), (95, 101), (95, 127), (59, 127)]"
70,3012,3256,75,33,"[(90, 90), (92, 146), (61, 147), (59, 91)]"
71,3118,3076,75,SZSH,"[(35, 13), (116, 14), (116, 43), (35, 42)]"
71,3118,3076,75,573P,"[(39, 60), (111, 59), (111, 86), (39, 87)]"
71,3118,3076,75,03,"[(58, 101), (95, 101), (95, 126), (58, 126)]"
72,4190,3368,75,PI,"[(63, 15), (94, 15), (94, 41), (63, 41)]"
72,4190,3368,75,573P,"[(38, 59), (111, 59), (111, 86), (38, 86)]"
72,4190,3368,75,05,"[(57, 100), (95, 100), (95, 126), (57, 126)]"
72,4190,3368,75,95,"[(61, 86), (91, 88), (88, 144), (58, 143)]"
73,1634,1834,75,HSD,"[(41, 14), (105, 14), (105, 42), (41, 42)]"
73,1634,1834,75,573P,"[(35, 60), (109, 60), (109, 86), (35, 86)]"
73,1634,1834,75,01,"[(56, 101), (88, 101), (88, 127), (56, 127)]"
74,8632,2272,82,THE,"[(20, 0), (82, 0), (82, 23), (20, 23)]"
74,8632,2272,82,SIGN,"[(93, 0), (163, 0), (163, 23), (93, 23)]"
74,8632,2272,82,ANCE,"[(0, 38), (87, 38), (87, 69), (0, 69)]"
74,8632,2272,82,FLAI,"[(101, 38), (163, 38), (163, 69), (101, 69)]"
74,8632,2272,82,NCES,"[(7, 84), (95, 83), (96, 118), (8, 119)]"
74,8632,2272,82,",","[(98, 83), (104, 83), (105, 117), (99, 117)]"
74,8632,2272,82,THI,"[(115, 82), (163, 81), (163, 116), (116, 117)]"
74,8632,2272,82,E,"[(0, 135), (19, 135), (19, 162), (0, 162)]"
74,8632,2272,82,BUBBLE,"[(28, 135), (155, 135), (155, 162), (28, 162)]"
76,5764,492,75,3,"[(0, 75), (0, 75), (0, 109), (0, 109)]"
76,5764,492,75,5,"[(0, 22), (13, 23), (11, 56), (0, 55)]"
76,5764,492,75,barg,"[(19, 23), (84, 27), (82, 60), (17, 56)]"
77,7280,1506,67,ELL,"[(0, 30), (119, 35), (116, 99), (0, 94)]"
77,7280,1506,67,),"[(120, 36), (133, 37), (133, 100), (117, 99)]"
